OBJECTID,CODIGO,COMUNA,BARRIO,NOMBRE_BARRIO,SECTOR,INDICADOR_UR,NOMBRE_COMUNA,SHAPE__Area,SHAPE__Length
58,9007,90,07,El Placer,9,R,SANTA ELENA,982405.94921875,6294.9624312549
59,6009,60,09,Pedregal Alto,7,R,SAN CRISTOBAL,3591541.61425781,14883.0230752076
60,1603,16,03,Belén,6,U,BELEN,554980.223632813,4480.63142688611
61,0503,05,03,Florencia,2,U,CASTILLA,274914.161621094,2435.2849988384
62,0712,07,12,Aures No. 2,2,U,ROBLEDO,460099.395507813,3709.96467470306
63,1416,14,16,Alejandría,5,U,EL POBLADO,439211.375488281,2807.20230276459
64,0112,01,12,Carpinelo,1,U,POPULAR,397020.654296875,3629.05186506539
65,1102,11,02,Suramericana,4,U,LAURELES,496105.321289063,3198.95622146381
66,0901,09,01,Juan Pablo II,3,U,BUENOS AIRES,77512.7397460938,2043.86490618815
67,1211,12,11,Simón Bolívar,4,U,LA AMERICA,355698.384765625,2695.22234405096
68,0604,06,04,Pedregal,2,U,DOCE DE OCTUBRE,591645.978515625,3652.87723981569
69,0506,05,06,Plaza de Ferias,2,U,CASTILLA,357083.606445313,2622.07877363188
70,0412,04,12,La Piñuela,1,U,ARANJUEZ,214538.591796875,2396.62022954882
71,7089,70,89,San Jose Del Manzanillo,8,R,ALTAVISTA,258288.56640625,4131.76200071362
72,7001,70,01,Altavista Sector Central,8,R,ALTAVISTA,13521084.3095703,39041.1515456128
73,0209,02,09,Moscú No. 1,1,U,SANTA CRUZ,160444.048339844,2123.32365762915
74,1004,10,04,El Chagualo,3,U,LA CANDELARIA,374487.129882813,2557.61575252214
75,1614,16,14,La Palma,6,U,BELEN,329744.968261719,2533.10116546587
76,0410,04,10,Campo Valdés No. 1,1,U,ARANJUEZ,377997.554199219,2718.79826528095
77,1315,13,15,Nuevos Conquistadores,4,U,SAN JAVIER,236180.050292969,2976.98036779487
78,6008,60,08,Travesías,7,R,SAN CRISTOBAL,361150.985351563,3752.34891745048
79,1007,10,07,Guayaquil,3,U,LA CANDELARIA,327116.556640625,2674.68309801156
80,1205,12,05,La Floresta,4,U,LA AMERICA,407553.005371094,2527.94603156469
81,1012,10,12,Perpetuo Socorro,3,U,LA CANDELARIA,654250.706542969,3755.34984779843
82,0811,08,11,Trece de Noviembre,3,U,VILLA HERMOSA,174519.854980469,2951.99627094761
83,0103,01,03,Popular,1,U,POPULAR,451532.40625,4467.83132065574
84,0803,08,03,San Miguel,3,U,VILLA HERMOSA,379392.98046875,3068.47888097442
